mdn,tid,mid,pv,did,cCnt,timestamp,sec,gcd,lat,lon,ang,spd,sum,bat
18하9305,A001,6,5,1,1,2025-07-31 14:17:58,00,A,35943981,127546325,155,26,7,135
18하9305,A001,6,5,1,1,2025-07-31 14:17:59,01,A,35943944,127546379,87,27,15,135
18하9305,A001,6,5,1,1,2025-07-31 14:18:00,02,A,35943946,127546465,87,27,22,135
18하9305,A001,6,5,1,1,2025-07-31 14:18:01,03,A,35943949,127546551,87,27,30,135
18하9305,A001,6,5,1,1,2025-07-31 14:18:02,04,A,35943952,127546638,87,28,38,135
18하9305,A001,6,5,1,1,2025-07-31 14:18:03,05,A,35943941,127546724,108,28,46,135
18하9305,A001,6,5,1,1,2025-07-31 14:18:04,06,A,35943917,127546809,108,29,54,135
18하9305,A001,6,5,1,1,2025-07-31 14:18:05,07,A,35943893,127546894,108,29,62,135
18하9305,A001,6,5,1,1,2025-07-31 14:18:06,08,A,35943863,127546975,147,29,70,135
18하9305,A001,6,5,1,1,2025-07-31 14:18:07,09,A,35943800,127547025,147,30,79,135
18하9305,A001,6,5,1,1,2025-07-31 14:18:08,10,A,35943736,127547075,147,30,87,135
18하9305,A001,6,5,1,1,2025-07-31 14:18:09,11,A,35943671,127547125,147,30,96,135
18하9305,A001,6,5,1,1,2025-07-31 14:18:10,12,A,35943605,127547177,147,31,104,135
18하9305,A001,6,5,1,1,2025-07-31 14:18:11,13,A,35943538,127547228,147,31,113,135
18하9305,A001,6,5,1,1,2025-07-31 14:18:12,14,A,35943471,127547281,147,31,122,135
18하9305,A001,6,5,1,1,2025-07-31 14:18:13,15,A,35943403,127547334,147,32,131,135
18하9305,A001,6,5,1,1,2025-07-31 14:18:14,16,A,35943335,127547387,147,32,140,135
18하9305,A001,6,5,1,1,2025-07-31 14:18:15,17,A,35943267,127547444,124,32,149,135
18하9305,A001,6,5,1,1,2025-07-31 14:18:16,18,A,35943220,127547528,124,33,158,135
18하9305,A001,6,5,1,1,2025-07-31 14:18:17,19,A,35943173,127547614,124,33,167,135
18하9305,A001,6,5,1,1,2025-07-31 14:18:18,20,A,35943097,127547659,159,33,177,135
18하9305,A001,6,5,1,1,2025-07-31 14:18:19,21,A,35943017,127547695,159,34,186,135
18하9305,A001,6,5,1,1,2025-07-31 14:18:20,22,A,35942939,127547738,134,34,196,135
18하9305,A001,6,5,1,1,2025-07-31 14:18:21,23,A,35942880,127547816,115,34,206,135
18하9305,A001,6,5,1,1,2025-07-31 14:18:22,24,A,35942843,127547915,115,35,216,135
18하9305,A001,6,5,1,1,2025-07-31 14:18:23,25,A,35942805,127548014,115,35,225,135
18하9305,A001,6,5,1,1,2025-07-31 14:18:24,26,A,35942739,127548079,168,35,235,135
18하9305,A001,6,5,1,1,2025-07-31 14:18:25,27,A,35942650,127548101,168,36,245,135
18하9305,A001,6,5,1,1,2025-07-31 14:18:26,28,A,35942562,127548077,197,36,256,135
18하9305,A001,6,5,1,1,2025-07-31 14:18:27,29,A,35942474,127548042,197,37,266,135
18하9305,A001,6,5,1,1,2025-07-31 14:18:28,30,A,35942385,127548006,197,37,276,135
18하9305,A001,6,5,1,1,2025-07-31 14:18:29,31,A,35942295,127547971,197,37,287,135
18하9305,A001,6,5,1,1,2025-07-31 14:18:30,32,A,35942205,127547934,197,38,297,135
18하9305,A001,6,5,1,1,2025-07-31 14:18:31,33,A,35942114,127547898,197,38,308,135
18하9305,A001,6,5,1,1,2025-07-31 14:18:32,34,A,35942022,127547861,197,38,319,135
18하9305,A001,6,5,1,1,2025-07-31 14:18:33,35,A,35941929,127547824,197,39,330,135
18하9305,A001,6,5,1,1,2025-07-31 14:18:34,36,A,35941833,127547803,175,39,341,135
18하9305,A001,6,5,1,1,2025-07-31 14:18:35,37,A,35941739,127547824,134,39,352,135
18하9305,A001,6,5,1,1,2025-07-31 14:18:36,38,A,35941691,127547926,95,40,363,135
18하9305,A001,6,5,1,1,2025-07-31 14:18:37,39,A,35941681,127548050,95,40,374,135
18하9305,A001,6,5,1,1,2025-07-31 14:18:38,40,A,35941671,127548176,95,40,385,135
18하9305,A001,6,5,1,1,2025-07-31 14:18:39,41,A,35941689,127548300,76,41,397,135
18하9305,A001,6,5,1,1,2025-07-31 14:18:40,42,A,35941751,127548393,36,41,408,135
18하9305,A001,6,5,1,1,2025-07-31 14:18:41,43,A,35941835,127548471,36,41,420,135
18하9305,A001,6,5,1,1,2025-07-31 14:18:42,44,A,35941920,127548549,36,42,432,135
18하9305,A001,6,5,1,1,2025-07-31 14:18:43,45,A,35941934,127548648,116,42,444,135
18하9305,A001,6,5,1,1,2025-07-31 14:18:44,46,A,35941853,127548726,167,42,456,135
18하9305,A001,6,5,1,1,2025-07-31 14:18:45,47,A,35941748,127548756,167,43,468,135
18하9305,A001,6,5,1,1,2025-07-31 14:18:46,48,A,35941642,127548785,167,43,480,135
18하9305,A001,6,5,1,1,2025-07-31 14:18:47,49,A,35941574,127548886,116,43,492,135
18하9305,A001,6,5,1,1,2025-07-31 14:18:48,50,A,35941524,127549008,116,44,504,135
18하9305,A001,6,5,1,1,2025-07-31 14:18:49,51,A,35941457,127549117,131,44,517,135
18하9305,A001,6,5,1,1,2025-07-31 14:18:50,52,A,35941360,127549175,166,45,529,135
18하9305,A001,6,5,1,1,2025-07-31 14:18:51,53,A,35941250,127549208,166,45,542,135
18하9305,A001,6,5,1,1,2025-07-31 14:18:52,54,A,35941158,127549143,224,45,554,135
18하9305,A001,6,5,1,1,2025-07-31 14:18:53,55,A,35941131,127549010,263,46,567,135
18하9305,A001,6,5,1,1,2025-07-31 14:18:54,56,A,35941119,127548868,263,46,580,135
18하9305,A001,6,5,1,1,2025-07-31 14:18:55,57,A,35941106,127548724,263,46,593,135
18하9305,A001,6,5,1,1,2025-07-31 14:18:56,58,A,35941094,127548580,263,47,606,135
