mdn,tid,mid,pv,did,cCnt,timestamp,sec,gcd,lat,lon,ang,spd,sum,bat
37허9534,A001,6,5,1,1,2025-07-25 16:43:14,00,A,36591931,126600588,237,26,7,135
37허9534,A001,6,5,1,1,2025-07-25 16:43:15,01,A,36591895,126600520,237,26,14,135
37허9534,A001,6,5,1,1,2025-07-25 16:43:16,02,A,36591855,126600454,227,26,21,135
37허9534,A001,6,5,1,1,2025-07-25 16:43:17,03,A,36591811,126600393,227,26,29,135
37허9534,A001,6,5,1,1,2025-07-25 16:43:18,04,A,36591766,126600332,227,26,36,135
37허9534,A001,6,5,1,1,2025-07-25 16:43:19,05,A,36591721,126600270,227,26,44,135
37허9534,A001,6,5,1,1,2025-07-25 16:43:20,06,A,36591677,126600209,227,26,51,135
37허9534,A001,6,5,1,1,2025-07-25 16:43:21,07,A,36591632,126600147,227,26,58,135
37허9534,A001,6,5,1,1,2025-07-25 16:43:22,08,A,36591586,126600085,227,26,66,135
37허9534,A001,6,5,1,1,2025-07-25 16:43:23,09,A,36591541,126600023,227,26,73,135
37허9534,A001,6,5,1,1,2025-07-25 16:43:24,10,A,36591496,126599960,227,27,81,135
37허9534,A001,6,5,1,1,2025-07-25 16:43:25,11,A,36591446,126599904,219,27,88,135
37허9534,A001,6,5,1,1,2025-07-25 16:43:26,12,A,36591387,126599869,187,27,96,135
37허9534,A001,6,5,1,1,2025-07-25 16:43:27,13,A,36591319,126599858,187,27,104,135
37허9534,A001,6,5,1,1,2025-07-25 16:43:28,14,A,36591251,126599847,187,27,111,135
37허9534,A001,6,5,1,1,2025-07-25 16:43:29,15,A,36591183,126599836,187,27,119,135
37허9534,A001,6,5,1,1,2025-07-25 16:43:30,16,A,36591115,126599826,187,27,126,135
37허9534,A001,6,5,1,1,2025-07-25 16:43:31,17,A,36591047,126599815,187,27,134,135
37허9534,A001,6,5,1,1,2025-07-25 16:43:32,18,A,36590981,126599789,199,27,142,135
37허9534,A001,6,5,1,1,2025-07-25 16:43:33,19,A,36590925,126599746,236,27,150,135
37허9534,A001,6,5,1,1,2025-07-25 16:43:34,20,A,36590887,126599673,236,27,157,135
37허9534,A001,6,5,1,1,2025-07-25 16:43:35,21,A,36590849,126599600,236,27,165,135
37허9534,A001,6,5,1,1,2025-07-25 16:43:36,22,A,36590811,126599527,236,28,173,135
37허9534,A001,6,5,1,1,2025-07-25 16:43:37,23,A,36590772,126599454,236,28,181,135
37허9534,A001,6,5,1,1,2025-07-25 16:43:38,24,A,36590734,126599381,236,28,188,135
37허9534,A001,6,5,1,1,2025-07-25 16:43:39,25,A,36590696,126599307,236,28,196,135
37허9534,A001,6,5,1,1,2025-07-25 16:43:40,26,A,36590657,126599233,236,28,204,135
37허9534,A001,6,5,1,1,2025-07-25 16:43:41,27,A,36590618,126599159,236,28,212,135
37허9534,A001,6,5,1,1,2025-07-25 16:43:42,28,A,36590579,126599085,236,28,220,135
37허9534,A001,6,5,1,1,2025-07-25 16:43:43,29,A,36590541,126599010,236,28,228,135
37허9534,A001,6,5,1,1,2025-07-25 16:43:44,30,A,36590502,126598936,236,28,236,135
37허9534,A001,6,5,1,1,2025-07-25 16:43:45,31,A,36590462,126598861,236,28,244,135
37허9534,A001,6,5,1,1,2025-07-25 16:43:46,32,A,36590423,126598786,236,28,252,135
37허9534,A001,6,5,1,1,2025-07-25 16:43:47,33,A,36590384,126598710,236,28,260,135
37허9534,A001,6,5,1,1,2025-07-25 16:43:48,34,A,36590344,126598635,236,28,268,135
37허9534,A001,6,5,1,1,2025-07-25 16:43:49,35,A,36590305,126598559,236,29,276,135
37허9534,A001,6,5,1,1,2025-07-25 16:43:50,36,A,36590265,126598483,236,29,284,135
37허9534,A001,6,5,1,1,2025-07-25 16:43:51,37,A,36590225,126598407,236,29,292,135
37허9534,A001,6,5,1,1,2025-07-25 16:43:52,38,A,36590186,126598331,236,29,300,135
37허9534,A001,6,5,1,1,2025-07-25 16:43:53,39,A,36590146,126598254,236,29,308,135
37허9534,A001,6,5,1,1,2025-07-25 16:43:54,40,A,36590105,126598177,236,29,317,135
37허9534,A001,6,5,1,1,2025-07-25 16:43:55,41,A,36590065,126598101,236,29,325,135
37허9534,A001,6,5,1,1,2025-07-25 16:43:56,42,A,36590025,126598023,236,29,333,135
37허9534,A001,6,5,1,1,2025-07-25 16:43:57,43,A,36589981,126597949,230,29,341,135
37허9534,A001,6,5,1,1,2025-07-25 16:43:58,44,A,36589933,126597878,230,29,350,135
37허9534,A001,6,5,1,1,2025-07-25 16:43:59,45,A,36589884,126597809,219,29,358,135
37허9534,A001,6,5,1,1,2025-07-25 16:44:00,46,A,36589826,126597750,219,29,366,135
37허9534,A001,6,5,1,1,2025-07-25 16:44:01,47,A,36589769,126597690,219,29,374,135
37허9534,A001,6,5,1,1,2025-07-25 16:44:02,48,A,36589711,126597631,219,30,383,135
37허9534,A001,6,5,1,1,2025-07-25 16:44:03,49,A,36589653,126597571,219,30,391,135
37허9534,A001,6,5,1,1,2025-07-25 16:44:04,50,A,36589595,126597511,219,30,400,135
37허9534,A001,6,5,1,1,2025-07-25 16:44:05,51,A,36589537,126597451,219,30,408,135
37허9534,A001,6,5,1,1,2025-07-25 16:44:06,52,A,36589478,126597390,219,30,416,135
37허9534,A001,6,5,1,1,2025-07-25 16:44:07,53,A,36589420,126597330,219,30,425,135
37허9534,A001,6,5,1,1,2025-07-25 16:44:08,54,A,36589361,126597269,219,30,433,135
37허9534,A001,6,5,1,1,2025-07-25 16:44:09,55,A,36589302,126597208,219,30,442,135
37허9534,A001,6,5,1,1,2025-07-25 16:44:10,56,A,36589243,126597147,219,30,450,135
37허9534,A001,6,5,1,1,2025-07-25 16:44:11,57,A,36589184,126597086,219,30,459,135
37허9534,A001,6,5,1,1,2025-07-25 16:44:12,58,A,36589124,126597025,219,30,468,135
37허9534,A001,6,5,1,1,2025-07-25 16:44:13,59,A,36589065,126596963,219,30,476,135
37허9534,A001,6,5,1,2,2025-07-25 16:44:14,00,A,36588969,126596864,219,49,490,135
