mdn,tid,mid,pv,did,cCnt,timestamp,sec,gcd,lat,lon,ang,spd,sum,bat
EMU54259301,A001,6,5,1,1,2025-07-15 14:32:15,00,A,36221353,126647850,241,24,0,135
EMU54259301,A001,6,5,1,1,2025-07-15 14:32:16,01,A,36221328,126647780,252,24,6,135
EMU54259301,A001,6,5,1,1,2025-07-15 14:32:17,02,A,36221310,126647707,253,24,13,135
EMU54259301,A001,6,5,1,1,2025-07-15 14:32:18,03,A,36221293,126647633,253,24,20,135
EMU54259301,A001,6,5,1,1,2025-07-15 14:32:19,04,A,36221276,126647560,253,24,27,135
EMU54259301,A001,6,5,1,1,2025-07-15 14:32:20,05,A,36221259,126647486,253,24,34,135
EMU54259301,A001,6,5,1,1,2025-07-15 14:32:21,06,A,36221253,126647410,269,24,41,135
EMU54259301,A001,6,5,1,1,2025-07-15 14:32:22,07,A,36221271,126647337,287,24,48,135
EMU54259301,A001,6,5,1,1,2025-07-15 14:32:23,08,A,36221285,126647263,280,24,54,135
EMU54259301,A001,6,5,1,1,2025-07-15 14:32:24,09,A,36221294,126647187,264,24,61,135
EMU54259301,A001,6,5,1,1,2025-07-15 14:32:25,10,A,36221288,126647111,264,24,68,135
EMU54259301,A001,6,5,1,1,2025-07-15 14:32:26,11,A,36221282,126647035,264,24,75,135
EMU54259301,A001,6,5,1,1,2025-07-15 14:32:27,12,A,36221283,126646959,278,24,82,135
EMU54259301,A001,6,5,1,1,2025-07-15 14:32:28,13,A,36221316,126646900,344,24,89,135
EMU54259301,A001,6,5,1,1,2025-07-15 14:32:29,14,A,36221377,126646887,358,24,96,135
EMU54259301,A001,6,5,1,1,2025-07-15 14:32:30,15,A,36221439,126646885,358,24,103,135
EMU54259301,A001,6,5,1,1,2025-07-15 14:32:31,16,A,36221500,126646886,3,24,109,135
EMU54259301,A001,6,5,1,1,2025-07-15 14:32:32,17,A,36221562,126646891,3,24,116,135
EMU54259301,A001,6,5,1,1,2025-07-15 14:32:33,18,A,36221624,126646896,3,24,123,135
EMU54259301,A001,6,5,1,1,2025-07-15 14:32:34,19,A,36221685,126646901,4,24,130,135
EMU54259301,A001,6,5,1,1,2025-07-15 14:32:35,20,A,36221747,126646907,4,24,137,135
EMU54259301,A001,6,5,1,1,2025-07-15 14:32:36,21,A,36221808,126646909,351,24,144,135
EMU54259301,A001,6,5,1,1,2025-07-15 14:32:37,22,A,36221869,126646897,334,24,151,135
EMU54259301,A001,6,5,1,1,2025-07-15 14:32:38,23,A,36221904,126646838,294,24,158,135
EMU54259301,A001,6,5,1,1,2025-07-15 14:32:39,24,A,36221918,126646764,280,24,164,135
EMU54259301,A001,6,5,1,1,2025-07-15 14:32:40,25,A,36221914,126646688,264,24,171,135
EMU54259301,A001,6,5,1,1,2025-07-15 14:32:41,26,A,36221908,126646612,264,24,178,135
EMU54259301,A001,6,5,1,1,2025-07-15 14:32:42,27,A,36221902,126646535,264,24,185,135
EMU54259301,A001,6,5,1,1,2025-07-15 14:32:43,28,A,36221896,126646459,264,24,192,135
EMU54259301,A001,6,5,1,1,2025-07-15 14:32:44,29,A,36221891,126646383,264,24,199,135
EMU54259301,A001,6,5,1,1,2025-07-15 14:32:45,30,A,36221884,126646307,258,24,206,135
EMU54259301,A001,6,5,1,1,2025-07-15 14:32:46,31,A,36221871,126646232,258,24,212,135
