mdn,tid,mid,pv,did,cCnt,timestamp,sec,gcd,lat,lon,ang,spd,sum,bat
42호3796,A001,6,5,1,1,2025-07-26 11:24:12,00,A,36488515,128256107,178,46,12,135
42호3796,A001,6,5,1,1,2025-07-26 11:24:13,01,A,36488400,128256112,178,46,25,135
42호3796,A001,6,5,1,1,2025-07-26 11:24:14,02,A,36488285,128256116,178,45,38,135
42호3796,A001,6,5,1,1,2025-07-26 11:24:15,03,A,36488172,128256121,178,45,51,135
42호3796,A001,6,5,1,1,2025-07-26 11:24:16,04,A,36488060,128256126,178,44,63,135
42호3796,A001,6,5,1,1,2025-07-26 11:24:17,05,A,36487949,128256131,178,44,75,135
42호3796,A001,6,5,1,1,2025-07-26 11:24:18,06,A,36487839,128256135,178,44,88,135
42호3796,A001,6,5,1,1,2025-07-26 11:24:19,07,A,36487730,128256140,178,43,100,135
42호3796,A001,6,5,1,1,2025-07-26 11:24:20,08,A,36487622,128256144,178,43,112,135
42호3796,A001,6,5,1,1,2025-07-26 11:24:21,09,A,36487515,128256149,178,42,124,135
42호3796,A001,6,5,1,1,2025-07-26 11:24:22,10,A,36487409,128256153,178,42,135,135
42호3796,A001,6,5,1,1,2025-07-26 11:24:23,11,A,36487435,128256033,287,42,147,135
42호3796,A001,6,5,1,1,2025-07-26 11:24:24,12,A,36487465,128255909,287,41,159,135
42호3796,A001,6,5,1,1,2025-07-26 11:24:25,13,A,36487496,128255786,287,41,170,135
42호3796,A001,6,5,1,1,2025-07-26 11:24:26,14,A,36487525,128255665,287,40,182,135
42호3796,A001,6,5,1,1,2025-07-26 11:24:27,15,A,36487556,128255545,287,40,193,135
42호3796,A001,6,5,1,1,2025-07-26 11:24:28,16,A,36487586,128255426,287,40,204,135
42호3796,A001,6,5,1,1,2025-07-26 11:24:29,17,A,36487615,128255309,287,39,215,135
42호3796,A001,6,5,1,1,2025-07-26 11:24:30,18,A,36487644,128255192,287,39,226,135
42호3796,A001,6,5,1,1,2025-07-26 11:24:31,19,A,36487673,128255077,287,38,237,135
42호3796,A001,6,5,1,1,2025-07-26 11:24:32,20,A,36487702,128254963,287,38,247,135
42호3796,A001,6,5,1,1,2025-07-26 11:24:33,21,A,36487730,128254850,287,38,258,135
42호3796,A001,6,5,1,1,2025-07-26 11:24:34,22,A,36487758,128254739,287,37,268,135
42호3796,A001,6,5,1,1,2025-07-26 11:24:35,23,A,36487786,128254628,287,37,279,135
42호3796,A001,6,5,1,1,2025-07-26 11:24:36,24,A,36487814,128254519,287,36,289,135
42호3796,A001,6,5,1,1,2025-07-26 11:24:37,25,A,36487841,128254411,287,36,299,135
42호3796,A001,6,5,1,1,2025-07-26 11:24:38,26,A,36487868,128254304,287,36,309,135
42호3796,A001,6,5,1,1,2025-07-26 11:24:39,27,A,36487894,128254199,287,35,319,135
42호3796,A001,6,5,1,1,2025-07-26 11:24:40,28,A,36487920,128254094,287,35,329,135
42호3796,A001,6,5,1,1,2025-07-26 11:24:41,29,A,36487946,128253991,287,34,338,135
42호3796,A001,6,5,1,1,2025-07-26 11:24:42,30,A,36487972,128253889,287,34,348,135
42호3796,A001,6,5,1,1,2025-07-26 11:24:43,31,A,36487997,128253788,287,33,357,135
42호3796,A001,6,5,1,1,2025-07-26 11:24:44,32,A,36488022,128253689,287,33,367,135
42호3796,A001,6,5,1,1,2025-07-26 11:24:45,33,A,36488047,128253590,287,33,376,135
42호3796,A001,6,5,1,1,2025-07-26 11:24:46,34,A,36488072,128253493,287,32,385,135
42호3796,A001,6,5,1,1,2025-07-26 11:24:47,35,A,36488096,128253397,287,32,394,135
42호3796,A001,6,5,1,1,2025-07-26 11:24:48,36,A,36488120,128253302,287,31,403,135
42호3796,A001,6,5,1,1,2025-07-26 11:24:49,37,A,36488143,128253208,287,31,412,135
42호3796,A001,6,5,1,1,2025-07-26 11:24:50,38,A,36488166,128253116,287,31,420,135
42호3796,A001,6,5,1,1,2025-07-26 11:24:51,39,A,36488189,128253025,287,30,429,135
42호3796,A001,6,5,1,1,2025-07-26 11:24:52,40,A,36488212,128252935,287,30,437,135
42호3796,A001,6,5,1,1,2025-07-26 11:24:53,41,A,36488234,128252846,287,29,446,135
42호3796,A001,6,5,1,1,2025-07-26 11:24:54,42,A,36488256,128252758,287,29,454,135
42호3796,A001,6,5,1,1,2025-07-26 11:24:55,43,A,36488278,128252672,287,29,462,135
42호3796,A001,6,5,1,1,2025-07-26 11:24:56,44,A,36488300,128252587,287,28,470,135
42호3796,A001,6,5,1,1,2025-07-26 11:24:57,45,A,36488318,128252502,280,28,478,135
42호3796,A001,6,5,1,1,2025-07-26 11:24:58,46,A,36488331,128252416,280,27,486,135
42호3796,A001,6,5,1,1,2025-07-26 11:24:59,47,A,36488341,128252332,278,27,493,135
42호3796,A001,6,5,1,1,2025-07-26 11:25:00,48,A,36488350,128252249,235,27,501,135
42호3796,A001,6,5,1,1,2025-07-26 11:25:01,49,A,36488312,128252180,235,26,508,135
42호3796,A001,6,5,1,1,2025-07-26 11:25:02,50,A,36488275,128252112,235,26,515,135
