mdn,tid,mid,pv,did,cCnt,timestamp,sec,gcd,lat,lon,ang,spd,sum,bat
70하3860,A001,6,5,1,1,2025-07-26 11:21:32,00,A,35895359,127818685,147,48,13,135
70하3860,A001,6,5,1,1,2025-07-26 11:21:33,01,A,35895258,127818765,147,47,26,135
70하3860,A001,6,5,1,1,2025-07-26 11:21:34,02,A,35895158,127818845,147,47,39,135
70하3860,A001,6,5,1,1,2025-07-26 11:21:35,03,A,35895059,127818924,147,47,53,135
70하3860,A001,6,5,1,1,2025-07-26 11:21:36,04,A,35894960,127819003,147,47,66,135
70하3860,A001,6,5,1,1,2025-07-26 11:21:37,05,A,35894861,127819082,147,46,79,135
70하3860,A001,6,5,1,1,2025-07-26 11:21:38,06,A,35894763,127819160,147,46,92,135
70하3860,A001,6,5,1,1,2025-07-26 11:21:39,07,A,35894665,127819238,147,46,105,135
70하3860,A001,6,5,1,1,2025-07-26 11:21:40,08,A,35894568,127819316,147,46,118,135
70하3860,A001,6,5,1,1,2025-07-26 11:21:41,09,A,35894471,127819393,147,46,130,135
70하3860,A001,6,5,1,1,2025-07-26 11:21:42,10,A,35894375,127819470,147,45,143,135
70하3860,A001,6,5,1,1,2025-07-26 11:21:43,11,A,35894279,127819547,147,45,156,135
70하3860,A001,6,5,1,1,2025-07-26 11:21:44,12,A,35894183,127819623,147,45,168,135
70하3860,A001,6,5,1,1,2025-07-26 11:21:45,13,A,35894088,127819698,148,45,181,135
70하3860,A001,6,5,1,1,2025-07-26 11:21:46,14,A,35893992,127819772,148,45,194,135
70하3860,A001,6,5,1,1,2025-07-26 11:21:47,15,A,35893897,127819844,148,44,206,135
70하3860,A001,6,5,1,1,2025-07-26 11:21:48,16,A,35893802,127819917,148,44,218,135
70하3860,A001,6,5,1,1,2025-07-26 11:21:49,17,A,35893705,127819983,159,44,231,135
70하3860,A001,6,5,1,1,2025-07-26 11:21:50,18,A,35893601,127820031,159,44,243,135
70하3860,A001,6,5,1,1,2025-07-26 11:21:51,19,A,35893496,127820071,166,44,255,135
70하3860,A001,6,5,1,1,2025-07-26 11:21:52,20,A,35893390,127820103,166,43,268,135
70하3860,A001,6,5,1,1,2025-07-26 11:21:53,21,A,35893283,127820129,176,43,280,135
70하3860,A001,6,5,1,1,2025-07-26 11:21:54,22,A,35893175,127820138,176,43,292,135
70하3860,A001,6,5,1,1,2025-07-26 11:21:55,23,A,35893067,127820131,183,43,304,135
70하3860,A001,6,5,1,1,2025-07-26 11:21:56,24,A,35892961,127820111,193,43,316,135
70하3860,A001,6,5,1,1,2025-07-26 11:21:57,25,A,35892857,127820081,193,42,328,135
70하3860,A001,6,5,1,1,2025-07-26 11:21:58,26,A,35892754,127820050,193,42,339,135
70하3860,A001,6,5,1,1,2025-07-26 11:21:59,27,A,35892651,127820020,193,42,351,135
70하3860,A001,6,5,1,1,2025-07-26 11:22:00,28,A,35892548,127819990,193,42,363,135
70하3860,A001,6,5,1,1,2025-07-26 11:22:01,29,A,35892446,127819961,193,41,375,135
70하3860,A001,6,5,1,1,2025-07-26 11:22:02,30,A,35892344,127819931,193,41,386,135
70하3860,A001,6,5,1,1,2025-07-26 11:22:03,31,A,35892243,127819902,193,41,398,135
70하3860,A001,6,5,1,1,2025-07-26 11:22:04,32,A,35892143,127819872,193,41,409,135
70하3860,A001,6,5,1,1,2025-07-26 11:22:05,33,A,35892043,127819843,193,41,421,135
70하3860,A001,6,5,1,1,2025-07-26 11:22:06,34,A,35891943,127819814,193,40,432,135
70하3860,A001,6,5,1,1,2025-07-26 11:22:07,35,A,35891844,127819785,193,40,443,135
70하3860,A001,6,5,1,1,2025-07-26 11:22:08,36,A,35891746,127819756,193,40,455,135
70하3860,A001,6,5,1,1,2025-07-26 11:22:09,37,A,35891648,127819728,193,40,466,135
70하3860,A001,6,5,1,1,2025-07-26 11:22:10,38,A,35891550,127819699,193,40,477,135
70하3860,A001,6,5,1,1,2025-07-26 11:22:11,39,A,35891453,127819671,193,39,488,135
70하3860,A001,6,5,1,1,2025-07-26 11:22:12,40,A,35891357,127819643,193,39,499,135
70하3860,A001,6,5,1,1,2025-07-26 11:22:13,41,A,35891261,127819615,193,39,510,135
70하3860,A001,6,5,1,1,2025-07-26 11:22:14,42,A,35891165,127819587,193,39,521,135
70하3860,A001,6,5,1,1,2025-07-26 11:22:15,43,A,35891070,127819562,191,39,532,135
70하3860,A001,6,5,1,1,2025-07-26 11:22:16,44,A,35890975,127819537,196,38,543,135
70하3860,A001,6,5,1,1,2025-07-26 11:22:17,45,A,35890882,127819504,196,38,553,135
70하3860,A001,6,5,1,1,2025-07-26 11:22:18,46,A,35890790,127819471,196,38,564,135
70하3860,A001,6,5,1,1,2025-07-26 11:22:19,47,A,35890698,127819438,196,38,575,135
70하3860,A001,6,5,1,1,2025-07-26 11:22:20,48,A,35890607,127819406,196,38,585,135
70하3860,A001,6,5,1,1,2025-07-26 11:22:21,49,A,35890515,127819380,190,37,596,135
70하3860,A001,6,5,1,1,2025-07-26 11:22:22,50,A,35890422,127819360,189,37,606,135
70하3860,A001,6,5,1,1,2025-07-26 11:22:23,51,A,35890330,127819342,189,37,617,135
70하3860,A001,6,5,1,1,2025-07-26 11:22:24,52,A,35890238,127819325,179,37,627,135
70하3860,A001,6,5,1,1,2025-07-26 11:22:25,53,A,35890146,127819326,179,36,637,135
70하3860,A001,6,5,1,1,2025-07-26 11:22:26,54,A,35890054,127819326,179,36,647,135
70하3860,A001,6,5,1,1,2025-07-26 11:22:27,55,A,35889963,127819326,179,36,657,135
70하3860,A001,6,5,1,1,2025-07-26 11:22:28,56,A,35889872,127819337,173,36,668,135
70하3860,A001,6,5,1,1,2025-07-26 11:22:29,57,A,35889783,127819350,173,36,678,135
70하3860,A001,6,5,1,1,2025-07-26 11:22:30,58,A,35889694,127819367,166,35,688,135
70하3860,A001,6,5,1,1,2025-07-26 11:22:31,59,A,35889608,127819393,166,35,698,135
70하3860,A001,6,5,1,2,2025-07-26 11:22:32,00,A,35889556,127819409,166,21,703,135
70하3860,A001,6,5,1,2,2025-07-26 11:22:33,01,A,35889503,127819424,166,21,710,135
70하3860,A001,6,5,1,2,2025-07-26 11:22:34,02,A,35889449,127819440,166,22,716,135
70하3860,A001,6,5,1,2,2025-07-26 11:22:35,03,A,35889395,127819457,166,22,722,135
70하3860,A001,6,5,1,2,2025-07-26 11:22:36,04,A,35889339,127819473,166,22,728,135
70하3860,A001,6,5,1,2,2025-07-26 11:22:37,05,A,35889283,127819490,166,23,735,135
70하3860,A001,6,5,1,2,2025-07-26 11:22:38,06,A,35889225,127819507,166,23,741,135
70하3860,A001,6,5,1,2,2025-07-26 11:22:39,07,A,35889167,127819525,166,23,748,135
70하3860,A001,6,5,1,2,2025-07-26 11:22:40,08,A,35889108,127819542,166,24,755,135
70하3860,A001,6,5,1,2,2025-07-26 11:22:41,09,A,35889048,127819560,166,24,762,135
70하3860,A001,6,5,1,2,2025-07-26 11:22:42,10,A,35888987,127819578,166,25,768,135
70하3860,A001,6,5,1,2,2025-07-26 11:22:43,11,A,35888925,127819597,166,25,776,135
70하3860,A001,6,5,1,2,2025-07-26 11:22:44,12,A,35888863,127819616,166,25,783,135
70하3860,A001,6,5,1,2,2025-07-26 11:22:45,13,A,35888799,127819635,166,26,790,135
70하3860,A001,6,5,1,2,2025-07-26 11:22:46,14,A,35888735,127819654,166,26,797,135
70하3860,A001,6,5,1,2,2025-07-26 11:22:47,15,A,35888669,127819673,166,26,805,135
70하3860,A001,6,5,1,2,2025-07-26 11:22:48,16,A,35888603,127819693,166,27,812,135
70하3860,A001,6,5,1,2,2025-07-26 11:22:49,17,A,35888536,127819713,166,27,820,135
70하3860,A001,6,5,1,2,2025-07-26 11:22:50,18,A,35888467,127819734,166,28,828,135
70하3860,A001,6,5,1,2,2025-07-26 11:22:51,19,A,35888398,127819754,166,28,836,135
70하3860,A001,6,5,1,2,2025-07-26 11:22:52,20,A,35888328,127819775,166,28,844,135
70하3860,A001,6,5,1,2,2025-07-26 11:22:53,21,A,35888258,127819796,166,29,852,135
70하3860,A001,6,5,1,2,2025-07-26 11:22:54,22,A,35888186,127819818,165,29,860,135
70하3860,A001,6,5,1,2,2025-07-26 11:22:55,23,A,35888114,127819842,165,29,868,135
70하3860,A001,6,5,1,2,2025-07-26 11:22:56,24,A,35888040,127819865,165,30,877,135
70하3860,A001,6,5,1,2,2025-07-26 11:22:57,25,A,35888033,127819934,71,30,885,135
70하3860,A001,6,5,1,2,2025-07-26 11:22:58,26,A,35888058,127820024,71,31,894,135
70하3860,A001,6,5,1,2,2025-07-26 11:22:59,27,A,35888084,127820116,63,31,903,135
70하3860,A001,6,5,1,2,2025-07-26 11:23:00,28,A,35888119,127820204,63,31,912,135
70하3860,A001,6,5,1,2,2025-07-26 11:23:01,29,A,35888154,127820293,63,32,921,135
70하3860,A001,6,5,1,2,2025-07-26 11:23:02,30,A,35888190,127820383,63,32,930,135
70하3860,A001,6,5,1,2,2025-07-26 11:23:03,31,A,35888229,127820472,55,32,939,135
70하3860,A001,6,5,1,2,2025-07-26 11:23:04,32,A,35888276,127820557,55,33,948,135
70하3860,A001,6,5,1,2,2025-07-26 11:23:05,33,A,35888323,127820642,55,33,957,135
70하3860,A001,6,5,1,2,2025-07-26 11:23:06,34,A,35888381,127820716,32,34,967,135
70하3860,A001,6,5,1,2,2025-07-26 11:23:07,35,A,35888454,127820773,32,34,976,135
70하3860,A001,6,5,1,2,2025-07-26 11:23:08,36,A,35888534,127820812,16,34,986,135
70하3860,A001,6,5,1,2,2025-07-26 11:23:09,37,A,35888618,127820844,16,35,996,135
70하3860,A001,6,5,1,2,2025-07-26 11:23:10,38,A,35888703,127820875,16,35,1006,135
70하3860,A001,6,5,1,2,2025-07-26 11:23:11,39,A,35888789,127820907,16,35,1016,135
70하3860,A001,6,5,1,2,2025-07-26 11:23:12,40,A,35888875,127820939,16,36,1026,135
70하3860,A001,6,5,1,2,2025-07-26 11:23:13,41,A,35888963,127820972,16,36,1036,135
70하3860,A001,6,5,1,2,2025-07-26 11:23:14,42,A,35889046,127821020,27,37,1046,135
70하3860,A001,6,5,1,2,2025-07-26 11:23:15,43,A,35889129,127821073,27,37,1056,135
70하3860,A001,6,5,1,2,2025-07-26 11:23:16,44,A,35889207,127821137,40,37,1067,135
70하3860,A001,6,5,1,2,2025-07-26 11:23:17,45,A,35889280,127821213,40,38,1078,135
70하3860,A001,6,5,1,2,2025-07-26 11:23:18,46,A,35889353,127821290,40,38,1088,135
70하3860,A001,6,5,1,2,2025-07-26 11:23:19,47,A,35889426,127821369,56,38,1099,135
70하3860,A001,6,5,1,2,2025-07-26 11:23:20,48,A,35889480,127821469,68,39,1110,135
70하3860,A001,6,5,1,2,2025-07-26 11:23:21,49,A,35889517,127821583,68,39,1121,135
70하3860,A001,6,5,1,2,2025-07-26 11:23:22,50,A,35889553,127821698,68,39,1132,135
70하3860,A001,6,5,1,2,2025-07-26 11:23:23,51,A,35889570,127821819,89,40,1143,135
70하3860,A001,6,5,1,2,2025-07-26 11:23:24,52,A,35889570,127821945,89,40,1155,135
70하3860,A001,6,5,1,2,2025-07-26 11:23:25,53,A,35889561,127822070,104,41,1166,135
70하3860,A001,6,5,1,2,2025-07-26 11:23:26,54,A,35889536,127822194,104,41,1177,135
70하3860,A001,6,5,1,2,2025-07-26 11:23:27,55,A,35889510,127822319,104,41,1189,135
70하3860,A001,6,5,1,2,2025-07-26 11:23:28,56,A,35889484,127822446,104,42,1201,135
70하3860,A001,6,5,1,2,2025-07-26 11:23:29,57,A,35889458,127822573,104,42,1213,135
70하3860,A001,6,5,1,2,2025-07-26 11:23:30,58,A,35889431,127822701,104,42,1225,135
70하3860,A001,6,5,1,2,2025-07-26 11:23:31,59,A,35889404,127822831,104,43,1237,135
70하3860,A001,6,5,1,3,2025-07-26 11:23:32,00,A,35889384,127822929,104,32,1246,135
70하3860,A001,6,5,1,3,2025-07-26 11:23:33,01,A,35889364,127823027,104,32,1255,135
70하3860,A001,6,5,1,3,2025-07-26 11:23:34,02,A,35889343,127823126,104,33,1264,135
70하3860,A001,6,5,1,3,2025-07-26 11:23:35,03,A,35889323,127823225,104,33,1273,135
70하3860,A001,6,5,1,3,2025-07-26 11:23:36,04,A,35889302,127823325,104,33,1283,135
70하3860,A001,6,5,1,3,2025-07-26 11:23:37,05,A,35889282,127823425,104,33,1292,135
70하3860,A001,6,5,1,3,2025-07-26 11:23:38,06,A,35889266,127823526,99,33,1301,135
