mdn,tid,mid,pv,did,cCnt,timestamp,sec,gcd,lat,lon,ang,spd,sum,bat
79허1985,A001,6,5,1,1,2025-07-26 11:11:11,00,A,35768611,127442030,42,29,8,135
79허1985,A001,6,5,1,1,2025-07-26 11:11:12,01,A,35768666,127442093,42,30,16,135
79허1985,A001,6,5,1,1,2025-07-26 11:11:13,02,A,35768723,127442156,42,30,25,135
79허1985,A001,6,5,1,1,2025-07-26 11:11:14,03,A,35768779,127442219,42,30,33,135
79허1985,A001,6,5,1,1,2025-07-26 11:11:15,04,A,35768839,127442280,38,30,42,135
79허1985,A001,6,5,1,1,2025-07-26 11:11:16,05,A,35768900,127442340,38,31,50,135
79허1985,A001,6,5,1,1,2025-07-26 11:11:17,06,A,35768920,127442410,119,31,59,135
79허1985,A001,6,5,1,1,2025-07-26 11:11:18,07,A,35768880,127442495,119,31,68,135
79허1985,A001,6,5,1,1,2025-07-26 11:11:19,08,A,35768841,127442581,119,32,77,135
79허1985,A001,6,5,1,1,2025-07-26 11:11:20,09,A,35768801,127442668,113,32,86,135
79허1985,A001,6,5,1,1,2025-07-26 11:11:21,10,A,35768768,127442759,113,32,95,135
79허1985,A001,6,5,1,1,2025-07-26 11:11:22,11,A,35768735,127442852,113,32,104,135
79허1985,A001,6,5,1,1,2025-07-26 11:11:23,12,A,35768687,127442935,127,33,113,135
79허1985,A001,6,5,1,1,2025-07-26 11:11:24,13,A,35768635,127443016,134,33,123,135
79허1985,A001,6,5,1,1,2025-07-26 11:11:25,14,A,35768576,127443090,134,33,132,135
79허1985,A001,6,5,1,1,2025-07-26 11:11:26,15,A,35768516,127443164,134,34,141,135
79허1985,A001,6,5,1,1,2025-07-26 11:11:27,16,A,35768455,127443239,134,34,151,135
79허1985,A001,6,5,1,1,2025-07-26 11:11:28,17,A,35768396,127443316,129,34,161,135
79허1985,A001,6,5,1,1,2025-07-26 11:11:29,18,A,35768340,127443398,129,34,170,135
79허1985,A001,6,5,1,1,2025-07-26 11:11:30,19,A,35768283,127443481,129,35,180,135
79허1985,A001,6,5,1,1,2025-07-26 11:11:31,20,A,35768240,127443575,114,35,190,135
79허1985,A001,6,5,1,1,2025-07-26 11:11:32,21,A,35768203,127443675,110,35,200,135
79허1985,A001,6,5,1,1,2025-07-26 11:11:33,22,A,35768172,127443779,110,35,210,135
79허1985,A001,6,5,1,1,2025-07-26 11:11:34,23,A,35768140,127443884,110,36,220,135
79허1985,A001,6,5,1,1,2025-07-26 11:11:35,24,A,35768107,127443989,110,36,230,135
79허1985,A001,6,5,1,1,2025-07-26 11:11:36,25,A,35768035,127443936,214,36,240,135
79허1985,A001,6,5,1,1,2025-07-26 11:11:37,26,A,35767973,127443851,232,37,251,135
79허1985,A001,6,5,1,1,2025-07-26 11:11:38,27,A,35767921,127443756,244,37,261,135
79허1985,A001,6,5,1,1,2025-07-26 11:11:39,28,A,35767881,127443652,244,37,271,135
79허1985,A001,6,5,1,1,2025-07-26 11:11:40,29,A,35767840,127443546,244,37,282,135
